1,2355,5,978824291
1,1197,3,978302268
1,1287,5,978302039
1,2804,5,978300719
1,594,4,978302268
1,919,4,978301368
1,595,5,978824268
1,938,4,978301752
1,2398,4,978302281
1,2918,4,978302124
1,1035,5,978301753
1,2791,4,978302188
1,2687,3,978824268
1,2018,4,978301777
1,3105,5,978301713
1,2797,4,978302039
1,2321,3,978302205
1,720,3,978300760
1,1270,5,978300055
1,527,5,978824195
1,2340,3,978300103
1,48,5,978824351
1,1097,4,978301953
1,1721,4,978300055
1,1545,4,978824139
1,745,3,978824268
1,2294,4,978824291
1,3186,4,978300019
1,1566,4,978824330
1,588,4,978824268
1,1907,4,978824330
1,783,4,978824291
1,1836,5,978300172
1,1022,5,978300055
1,2762,4,978302091
1,150,5,978301777
1,1,5,978824268
1,1961,5,978301590
1,1962,4,978301753
1,2692,4,978301570
1,260,4,978300760
1,1028,5,978301777
1,1029,5,978302205
1,1207,4,978300719
2,2852,3,978298958
2,1945,5,978298458
2,982,4,978299269
2,1873,4,978298542
2,2858,4,978298434
2,1225,5,978298391
2,2028,4,978299773
2,515,5,978298542
2,442,3,978300025
2,2312,3,978299046
2,265,4,978299026
2,1408,3,978299839
2,1084,3,978298813
2,3699,2,978299173
2,480,5,978299809
2,1442,4,978299297
2,2067,5,978298625
2,1265,3,978299712
2,1370,5,978299889
2,1193,5,978298413
2,1801,3,978300002
2,1372,3,978299941
2,2353,4,978299861
2,3334,4,978298958
2,2427,2,978299913
2,590,5,978299083
2,1196,5,978298730
2,1552,3,978299941
2,736,4,978300100
2,1198,4,978298124
2,593,5,978298517
2,2359,3,978299666
2,95,2,978300143
2,2717,3,978298196
2,2571,4,978299773
3,1265,2,978298316
3,1266,5,978297396
3,733,5,978297757
3,1196,4,978297539
3,590,4,978297439
3,2355,5,978298430
3,1197,5,978297570
3,1198,5,978297570
3,1378,5,978297419
3,593,3,978297018
3,1379,4,978297419
3,3552,5,978298459
3,1304,5,978298166
3,1270,3,978298231
3,2470,4,978297777
3,3168,4,978297570
3,2617,2,978297837
3,1961,4,978297095
3,3671,5,978297419
3,2006,4,978297757
3,2871,4,978297539
3,2115,4,978297777
3,1968,4,978297068
3,1136,5,978298079
3,2081,4,978298504
4,3468,5,978294008
4,1210,3,978293924
4,2951,4,978294282
4,1214,4,978294260
4,1036,4,978294282
4,260,5,978294199
4,2028,5,978294230
4,480,4,978294008
4,1196,2,978294199
4,1198,5,978294199
4,1954,5,978294282
4,1097,4,978293964
4,3418,4,978294260
4,3702,4,978294260
4,2366,4,978294230
4,1387,5,978294199
4,3527,1,978294008
